Actual,Predicted
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Deception
Deception,Deception
Deception,Truth
Deception,Deception
Deception,Truth
Deception,Truth
Deception,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Deception
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Deception
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
Truth,Truth
